mote_id,monitored_time,on_time,tx_time,rx_time,int_time
8,83.0,2.0,1.0,0.0,0.0
9,83.0,2.0,1.0,0.0,0.0
10,83.0,2.0,1.0,0.0,0.0
0,83.0,1.0,0.0,0.0,0.0
1,83.0,1.0,0.0,0.0,0.0
2,83.0,2.0,1.0,0.0,0.0
3,83.0,2.0,1.0,0.0,0.0
4,83.0,0.0,0.0,0.0,0.0
5,83.0,1.0,0.0,0.0,0.0
6,83.0,1.0,0.0,0.0,0.0
7,83.0,2.0,1.0,0.0,0.0
8,83.0,2.0,1.0,0.0,0.0
9,83.0,2.0,1.0,0.0,0.0
10,83.0,2.0,1.0,0.0,0.0
0,87.0,1.0,0.0,0.0,0.0
1,87.0,1.0,0.0,0.0,0.0
2,87.0,2.0,1.0,0.0,0.0
3,87.0,2.0,1.0,0.0,0.0
4,87.0,0.0,0.0,0.0,0.0
5,87.0,1.0,0.0,0.0,0.0
6,87.0,1.0,0.0,0.0,0.0
7,87.0,2.0,1.0,0.0,0.0
8,87.0,2.0,1.0,0.0,0.0
9,87.0,2.0,1.0,0.0,0.0
10,87.0,2.0,1.0,0.0,0.0
0,87.0,1.0,0.0,0.0,0.0
1,87.0,1.0,0.0,0.0,0.0
2,87.0,2.0,1.0,0.0,0.0
3,87.0,2.0,1.0,0.0,0.0
4,87.0,0.0,0.0,0.0,0.0
5,87.0,1.0,0.0,0.0,0.0
6,87.0,1.0,0.0,0.0,0.0
7,87.0,2.0,1.0,0.0,0.0
8,87.0,2.0,1.0,0.0,0.0
9,87.0,2.0,1.0,0.0,0.0
10,87.0,2.0,1.0,0.0,0.0
0,87.0,1.0,0.0,0.0,0.0
1,87.0,1.0,0.0,0.0,0.0
2,87.0,2.0,1.0,0.0,0.0
3,87.0,2.0,1.0,0.0,0.0
4,87.0,0.0,0.0,0.0,0.0
5,87.0,1.0,0.0,0.0,0.0
6,87.0,1.0,0.0,0.0,0.0
7,87.0,2.0,1.0,0.0,0.0
8,87.0,2.0,1.0,0.0,0.0
9,87.0,2.0,1.0,0.0,0.0
10,87.0,2.0,1.0,0.0,0.0
0,87.0,1.0,0.0,0.0,0.0
1,87.0,1.0,0.0,0.0,0.0
2,87.0,2.0,1.0,0.0,0.0
3,87.0,2.0,1.0,0.0,0.0
4,87.0,0.0,0.0,0.0,0.0
5,87.0,1.0,0.0,0.0,0.0
6,87.0,1.0,0.0,0.0,0.0
7,87.0,2.0,1.0,0.0,0.0
8,87.0,2.0,1.0,0.0,0.0
9,87.0,2.0,1.0,0.0,0.0
10,87.0,2.0,1.0,0.0,0.0
0,87.0,1.0,0.0,0.0,0.0
1,87.0,1.0,0.0,0.0,0.0
2,87.0,2.0,1.0,0.0,0.0
3,87.0,2.0,1.0,0.0,0.0
4,87.0,0.0,0.0,0.0,0.0
5,87.0,1.0,0.0,0.0,0.0
6,87.0,1.0,0.0,0.0,0.0
7,87.0,2.0,1.0,0.0,0.0
8,87.0,2.0,1.0,0.0,0.0
9,87.0,2.0,1.0,0.0,0.0
10,87.0,2.0,1.0,0.0,0.0
0,87.0,1.0,0.0,0.0,0.0
1,87.0,1.0,0.0,0.0,0.0
